Year,Month,Day,Hour,N_Room,N_Dinning Room,N_Gym,N_Therapy Room,N_Living Room,N_Terrace,N_TV Room
2024,5,1,0,0,0,0,0,0,0,0
2024,5,1,1,0,0,0,0,0,0,0
2024,5,1,2,0,0,0,0,0,0,0
2024,5,1,3,0,0,0,0,0,0,0
2024,5,1,4,0,0,0,0,0,0,0
2024,5,1,5,0,0,0,0,0,0,0
2024,5,1,6,0,0,0,0,0,0,0
2024,5,1,7,0,0,0,0,0,0,0
2024,5,1,8,10,0,0,0,0,0,0
2024,5,1,9,35,24,0,0,0,0,0
2024,5,1,10,58,0,0,0,0,0,0
2024,5,1,11,55,0,0,0,0,0,0
2024,5,1,12,35,10,0,0,0,0,0
2024,5,1,13,0,10,0,0,0,0,34
2024,5,1,14,0,0,0,0,33,0,17
2024,5,1,15,0,0,0,0,45,0,0
2024,5,1,16,0,0,45,0,4,0,0
2024,5,1,17,0,0,36,13,0,0,0
2024,5,1,18,0,0,0,40,0,0,0
2024,5,1,19,0,30,0,0,0,0,0
2024,5,1,20,20,19,0,0,0,0,0
2024,5,1,21,0,0,0,0,0,0,0
2024,5,1,22,0,0,0,0,0,0,0
2024,5,1,23,0,0,0,0,0,0,0
2024,5,2,0,0,0,0,0,0,0,0
2024,5,2,1,0,0,0,0,0,0,0
2024,5,2,2,0,0,0,0,0,0,0
2024,5,2,3,0,0,0,0,0,0,0
2024,5,2,4,0,0,0,0,0,0,0
2024,5,2,5,0,0,0,0,0,0,0
2024,5,2,6,0,0,0,0,0,0,0
2024,5,2,7,0,0,0,0,0,0,0
2024,5,2,8,0,0,0,0,0,0,0
2024,5,2,9,0,40,0,0,0,0,0
2024,5,2,10,36,16,0,0,0,0,0
2024,5,2,11,30,10,0,0,0,0,0
2024,5,2,12,0,52,0,0,0,0,0
2024,5,2,13,0,19,29,0,0,0,0
2024,5,2,14,0,0,53,0,0,0,0
2024,5,2,15,0,9,21,0,0,11,0
2024,5,2,16,27,25,0,0,0,0,0
2024,5,2,17,44,0,0,0,0,0,0
2024,5,2,18,16,0,0,22,0,0,0
2024,5,2,19,0,37,0,14,0,0,0
2024,5,2,20,26,13,0,0,0,0,0
2024,5,2,21,15,0,0,0,0,0,0
2024,5,2,22,0,0,0,0,0,0,0
2024,5,2,23,0,0,0,0,0,0,0
2024,5,3,0,0,0,0,0,0,0,0
2024,5,3,1,0,0,0,0,0,0,0
2024,5,3,2,0,0,0,0,0,0,0
2024,5,3,3,0,0,0,0,0,0,0
2024,5,3,4,0,0,0,0,0,0,0
2024,5,3,5,0,0,0,0,0,0,0
2024,5,3,6,0,0,0,0,0,0,0
2024,5,3,7,0,0,0,0,0,0,0
2024,5,3,8,0,4,0,0,0,0,0
2024,5,3,9,0,40,0,0,0,0,0
2024,5,3,10,44,7,0,0,0,0,0
2024,5,3,11,49,0,0,0,0,0,0
2024,5,3,12,3,48,0,0,0,0,0
2024,5,3,13,0,11,0,0,26,0,0
2024,5,3,14,0,0,0,0,60,0,0
2024,5,3,15,0,4,0,0,5,44,0
2024,5,3,16,0,4,0,41,0,0,0
2024,5,3,17,16,0,0,8,0,0,27
2024,5,3,18,41,0,0,0,0,0,0
2024,5,3,19,32,12,0,0,0,0,0
2024,5,3,20,0,25,0,0,0,0,0
2024,5,3,21,0,0,0,0,0,0,0
2024,5,3,22,0,0,0,0,0,0,0
2024,5,3,23,0,0,0,0,0,0,0
2024,5,4,0,0,0,0,0,0,0,0
2024,5,4,1,0,0,0,0,0,0,0
2024,5,4,2,0,0,0,0,0,0,0
2024,5,4,3,0,0,0,0,0,0,0
2024,5,4,4,0,0,0,0,0,0,0
2024,5,4,5,0,0,0,0,0,0,0
2024,5,4,6,0,0,0,0,0,0,0
2024,5,4,7,0,0,0,0,0,0,0
2024,5,4,8,0,0,0,0,0,0,0
2024,5,4,9,3,31,0,0,0,0,0
2024,5,4,10,0,16,18,0,0,0,0
2024,5,4,11,0,0,36,24,0,0,0
2024,5,4,12,0,41,0,4,0,0,0
2024,5,4,13,17,38,0,0,0,0,0
2024,5,4,14,43,0,0,0,0,0,0
2024,5,4,15,29,0,0,0,19,0,8
2024,5,4,16,27,3,0,0,17,0,0
2024,5,4,17,35,0,0,0,0,0,0
2024,5,4,18,36,0,0,0,0,19,0
2024,5,4,19,0,40,0,0,0,5,0
2024,5,4,20,45,13,0,0,0,0,0
2024,5,4,21,0,0,0,0,0,0,0
2024,5,4,22,0,0,0,0,0,0,0
2024,5,4,23,0,0,0,0,0,0,0
2024,5,5,0,0,0,0,0,0,0,0
2024,5,5,1,0,0,0,0,0,0,0
2024,5,5,2,0,0,0,0,0,0,0
2024,5,5,3,0,0,0,0,0,0,0
2024,5,5,4,0,0,0,0,0,0,0
2024,5,5,5,0,0,0,0,0,0,0
2024,5,5,6,0,0,0,0,0,0,0
2024,5,5,7,0,0,0,0,0,0,0
2024,5,5,8,0,0,0,0,0,0,0
2024,5,5,9,13,21,0,0,0,0,0
2024,5,5,10,0,27,25,0,0,0,0
2024,5,5,11,0,0,24,18,0,0,0
2024,5,5,12,0,19,0,26,0,0,0
2024,5,5,13,0,13,0,0,35,0,0
2024,5,5,14,0,0,0,0,48,0,0
2024,5,5,15,1,10,0,0,8,16,0
2024,5,5,16,0,27,0,21,0,0,0
2024,5,5,17,0,0,0,42,0,0,4
2024,5,5,18,0,10,0,0,0,0,46
2024,5,5,19,0,45,0,0,0,0,0
2024,5,5,20,16,32,0,0,0,0,0
2024,5,5,21,4,0,0,0,0,0,0
2024,5,5,22,0,0,0,0,0,0,0
2024,5,5,23,0,0,0,0,0,0,0
2024,5,6,0,0,0,0,0,0,0,0
2024,5,6,1,0,0,0,0,0,0,0
2024,5,6,2,0,0,0,0,0,0,0
2024,5,6,3,0,0,0,0,0,0,0
2024,5,6,4,0,0,0,0,0,0,0
2024,5,6,5,0,0,0,0,0,0,0
2024,5,6,6,0,0,0,0,0,0,0
2024,5,6,7,0,0,0,0,0,0,0
2024,5,6,8,0,0,0,0,0,0,0
